Id,LotArea,TotalBsmtSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,SalePrice
1,8450,856,1,0,2,1,3,208500
2,9600,1262,0,1,2,0,3,181500
3,11250,920,1,0,2,1,3,223500
4,9550,756,1,0,1,0,3,140000
5,14260,1145,1,0,2,1,4,250000
6,14115,796,1,0,1,1,1,143000
7,10084,1686,1,0,2,0,3,307000
8,10382,1107,1,0,2,1,3,200000
9,6120,952,0,0,2,0,2,129900
10,7420,991,1,0,1,0,2,118000
11,11200,1040,1,0,1,0,3,129500
12,11924,1175,1,0,3,0,4,345000
13,12968,912,1,0,1,0,2,144000
14,10652,1494,0,0,2,0,3,279500
15,10920,1253,1,0,1,1,2,157000
16,6120,832,0,0,1,0,2,132000
17,11241,1004,1,0,1,0,2,149000
18,10791,0,0,0,2,0,2,90000
19,13695,1114,1,0,1,1,3,159000
20,7560,1029,0,0,1,0,3,139000
21,14215,1158,0,0,3,1,4,325300
22,7449,637,0,0,1,0,3,139400
23,9742,1777,0,0,2,0,3,230000
24,4224,1040,1,0,1,0,3,129900
25,8246,1060,1,0,1,0,3,154000
26,14230,1566,0,0,2,0,3,256300
27,7200,900,0,1,1,0,3,134800
28,11478,1704,1,0,2,0,3,306000
29,16321,1484,1,0,1,0,2,207500
30,6324,520,0,0,1,0,1,68500
31,8500,649,0,0,1,0,3,40000
32,8544,1228,0,0,1,1,3,149350
33,11049,1234,0,0,2,0,3,179900
34,10552,1398,0,1,1,1,4,165500
35,7313,1561,1,0,2,0,2,277500
36,13418,1117,0,0,3,1,4,309000
37,10859,1097,0,0,1,1,3,145000
38,8532,1297,0,1,1,0,3,153000
39,7922,1057,1,0,1,0,3,109000
40,6040,0,0,0,2,0,2,82000
41,8658,1088,0,0,2,0,3,160000
42,16905,1350,0,1,1,1,2,170000
43,9180,840,1,0,1,0,2,144000
44,9200,938,1,0,1,0,3,130250
45,7945,1150,1,0,1,0,3,141000
46,7658,1752,1,0,2,0,2,319900
47,12822,1434,1,0,1,1,1,239686
48,11096,1656,0,0,2,0,3,249700
49,4456,736,0,0,2,0,2,113000
50,7742,955,1,0,1,0,3,127000
51,13869,794,0,1,2,0,3,177000
52,6240,816,0,0,1,0,3,114500
53,8472,816,1,0,1,0,2,110000
54,50271,1842,2,0,0,1,0,385000
55,7134,384,0,0,1,0,3,130000
56,10175,1425,0,0,2,0,3,180500
57,2645,970,1,0,2,1,3,172500
58,11645,860,0,0,2,1,3,196500
59,13682,1410,0,0,3,1,3,438780
60,7200,780,0,0,1,0,2,124900
61,13072,1158,1,0,1,1,3,158000
62,7200,530,0,0,1,0,3,101000
63,6442,1370,0,0,2,0,2,202500
64,10300,576,0,0,2,0,3,140000
65,9375,1057,1,0,2,1,3,219500
66,9591,1143,0,0,2,1,4,317000
67,19900,1947,1,0,2,0,3,180000
68,10665,1453,1,0,2,0,3,226000
69,4608,747,0,0,1,0,2,80000
70,15593,1304,0,0,2,0,3,225000
71,13651,2223,1,0,2,0,3,244000
72,7599,845,1,0,1,0,2,129500
73,10141,832,0,0,2,1,3,185000
74,10200,1086,1,0,1,0,3,144900
75,5790,840,0,0,2,0,3,107400
76,1596,462,1,0,1,0,2,91000
77,8475,952,0,0,1,0,2,135750
78,8635,672,1,0,1,0,2,127000
79,10778,1768,0,0,2,0,4,136500
80,10440,440,0,0,1,1,2,110000
81,13000,896,0,0,2,1,4,193500
82,4500,1237,1,0,2,0,2,153500
83,10206,1563,0,0,2,0,3,245000
84,8892,1065,0,0,1,1,3,126500
85,8530,384,0,0,2,1,3,168500
86,16059,1288,0,0,2,1,4,260000
87,11911,684,0,0,2,1,3,174000
88,3951,612,0,0,2,1,2,164500
89,8470,1013,0,0,1,0,2,85000
90,8070,990,1,0,1,0,3,123600
91,7200,0,0,0,1,0,2,109900
92,8500,1235,0,0,1,0,2,98600
93,13360,876,1,0,1,0,2,163500
94,7200,1214,0,1,2,0,4,133900
95,9337,824,1,0,2,1,3,204750
96,9765,680,0,0,2,1,3,185000
97,10264,1588,0,0,2,0,3,214000
98,10921,960,1,0,1,0,3,94750
99,10625,458,0,0,1,0,2,83000
